epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,132.515,1.50006,1.12381,1.33559,0.73891,0.53684,0.64089,0.32224,1.70613,1.33859,1.48283,0.00329225,0.00329225,0.00329225
71,133.939,1.49649,1.14157,1.35459,0.85268,0.48947,0.66839,0.32942,1.68702,1.31728,1.46936,0.0032675,0.0032675,0.0032675
72,135.411,1.50552,1.12258,1.3211,0.85268,0.48947,0.66839,0.32942,1.68702,1.31728,1.46936,0.00324275,0.00324275,0.00324275
73,137.902,1.53058,1.11787,1.33722,0.65069,0.55263,0.64555,0.30982,1.77392,1.35695,1.53451,0.003218,0.003218,0.003218
74,140.033,1.58076,1.1812,1.4026,0.65069,0.55263,0.64555,0.30982,1.77392,1.35695,1.53451,0.00319325,0.00319325,0.00319325
75,141.416,1.51287,1.13922,1.36475,0.76076,0.48421,0.63203,0.31019,1.74648,1.32368,1.49836,0.0031685,0.0031685,0.0031685
76,143.06,1.48381,1.11581,1.35947,0.68212,0.56842,0.63445,0.30346,1.76326,1.33252,1.50033,0.00314375,0.00314375,0.00314375
77,144.6,1.54533,1.17213,1.38271,0.68212,0.56842,0.63445,0.30346,1.76326,1.33252,1.50033,0.003119,0.003119,0.003119
78,147.122,1.51154,1.15971,1.407,0.64346,0.56842,0.62407,0.30288,1.73325,1.31011,1.47939,0.00309425,0.00309425,0.00309425
79,149.368,1.5136,1.12556,1.36637,0.69532,0.57368,0.63178,0.30985,1.74283,1.34897,1.48697,0.0030695,0.0030695,0.0030695
80,151.538,1.51808,1.13218,1.35467,0.69532,0.57368,0.63178,0.30985,1.74283,1.34897,1.48697,0.00304475,0.00304475,0.00304475
81,153.854,1.52173,1.11375,1.35519,0.63788,0.547,0.60655,0.29402,1.80335,1.39219,1.51724,0.00302,0.00302,0.00302
82,155.278,1.51503,1.09227,1.34084,0.63788,0.547,0.60655,0.29402,1.80335,1.39219,1.51724,0.00299525,0.00299525,0.00299525
83,157.044,1.51922,1.12241,1.32491,0.61997,0.55811,0.61972,0.30655,1.73527,1.34156,1.47561,0.0029705,0.0029705,0.0029705
84,158.459,1.47536,1.11676,1.33704,0.66316,0.52632,0.6248,0.31094,1.70625,1.31619,1.45287,0.00294575,0.00294575,0.00294575
85,159.853,1.43064,1.06392,1.29086,0.66316,0.52632,0.6248,0.31094,1.70625,1.31619,1.45287,0.002921,0.002921,0.002921
86,161.268,1.43327,1.06048,1.30088,0.6663,0.53684,0.6189,0.32344,1.67655,1.29801,1.43676,0.00289625,0.00289625,0.00289625
87,162.808,1.4933,1.10668,1.35773,0.73579,0.54737,0.64261,0.32522,1.68917,1.30037,1.45271,0.0028715,0.0028715,0.0028715
88,164.372,1.4649,1.07759,1.32031,0.73579,0.54737,0.64261,0.32522,1.68917,1.30037,1.45271,0.00284675,0.00284675,0.00284675
